table_name,column_name,data_type,is_nullable
ajustes_stock,id,uuid,NO
ajustes_stock,tenant_id,uuid,NO
ajustes_stock,producto_id,uuid,YES
ajustes_stock,insumo_id,uuid,YES
ajustes_stock,tipo,text,NO
ajustes_stock,cantidad,numeric,NO
ajustes_stock,motivo,text,YES
ajustes_stock,fecha,date,NO
ajustes_stock,created_at,timestamp with time zone,YES
categorias,id,uuid,NO
categorias,tenant_id,uuid,NO
categorias,nombre,text,NO
categorias,tipo,text,NO
categorias,created_at,timestamp with time zone,YES
categorias_gastos,id,uuid,NO
categorias_gastos,tenant_id,uuid,NO
categorias_gastos,tipo,text,NO
categorias_gastos,descripcion,text,NO
categorias_gastos,created_at,timestamp with time zone,YES
categorias_gastos,estado,text,NO
clientes,id,uuid,NO
clientes,tenant_id,uuid,NO
clientes,nombre_razon_social,text,NO
clientes,cuit,text,YES
clientes,condicion_iva,text,YES
clientes,domicilio_fiscal,text,YES
clientes,direccion,text,YES
clientes,localidad,text,YES
clientes,provincia,text,YES
clientes,codigo_postal,text,YES
clientes,telefono,text,YES
clientes,email,text,YES
clientes,web,text,YES
clientes,tipo_factura,text,YES
clientes,estado,text,YES
clientes,created_at,timestamp with time zone,YES
clientes,updated_at,timestamp with time zone,YES
configuracion,id,uuid,NO
configuracion,tenant_id,uuid,NO
configuracion,razon_social,text,YES
configuracion,cuit,text,YES
configuracion,fecha_inicio_actividades,date,YES
configuracion,punto_venta,integer,YES
configuracion,domicilio_comercial,text,YES
configuracion,ingresos_brutos,text,YES
configuracion,condicion_iva,text,YES
configuracion,created_at,timestamp with time zone,YES
configuracion,updated_at,timestamp with time zone,YES
contadores,tenant_id,uuid,NO
contadores,tipo,text,NO
contadores,ultimo_numero,integer,YES
cuentas,id,uuid,NO
cuentas,tenant_id,uuid,NO
cuentas,nombre,text,NO
cuentas,tipo,text,NO
cuentas,activo,boolean,YES
cuentas,created_at,timestamp with time zone,YES
cuentas,updated_at,timestamp with time zone,YES
cuentas,saldo_minimo_alerta,numeric,YES
fabricaciones,id,uuid,NO
fabricaciones,tenant_id,uuid,NO
fabricaciones,numero,text,NO
fabricaciones,fecha_fabricacion,date,NO
fabricaciones,fecha_estimada_fin,date,YES
fabricaciones,estado,text,YES
fabricaciones,notas,text,YES
fabricaciones,costo_total,numeric,YES
fabricaciones,created_at,timestamp with time zone,YES
fabricaciones,updated_at,timestamp with time zone,YES
fabricaciones_productos,id,uuid,NO
fabricaciones_productos,tenant_id,uuid,NO
fabricaciones_productos,fabricacion_id,uuid,NO
fabricaciones_productos,producto_id,uuid,NO
fabricaciones_productos,cantidad,integer,NO
fabricaciones_productos,costo_insumos,numeric,NO
fabricaciones_productos,costo_fabricacion,numeric,NO
fabricaciones_productos,costo_total,numeric,NO
fabricaciones_productos,observaciones,text,YES
fabricaciones_productos,created_at,timestamp with time zone,YES
facturas_compra,id,uuid,NO
facturas_compra,tenant_id,uuid,NO
facturas_compra,proveedor_id,uuid,NO
facturas_compra,numero,text,YES
facturas_compra,tipo,text,NO
facturas_compra,fecha_emision,date,NO
facturas_compra,fecha_vencimiento,date,YES
facturas_compra,cae,text,YES
facturas_compra,cae_fecha_vencimiento,date,YES
facturas_compra,notas,text,YES
facturas_compra,created_at,timestamp with time zone,YES
facturas_compra,updated_at,timestamp with time zone,YES
facturas_compra,codigo,text,YES
facturas_compra,condicion_compra,text,YES
facturas_compra,periodo_desde,date,YES
facturas_compra,periodo_hasta,date,YES
facturas_venta,id,uuid,NO
facturas_venta,tenant_id,uuid,NO
facturas_venta,cliente_id,uuid,NO
facturas_venta,numero,text,YES
facturas_venta,tipo,text,NO
facturas_venta,fecha_emision,date,NO
facturas_venta,fecha_vencimiento,date,YES
facturas_venta,cae,text,YES
facturas_venta,cae_fecha_vencimiento,date,YES
facturas_venta,notas,text,YES
facturas_venta,created_at,timestamp with time zone,YES
facturas_venta,updated_at,timestamp with time zone,YES
facturas_venta,codigo,text,YES
facturas_venta,periodo_desde,date,YES
facturas_venta,periodo_hasta,date,YES
facturas_venta,condicion_venta,text,YES
gasto_metodos,id,uuid,NO
gasto_metodos,tenant_id,uuid,NO
gasto_metodos,gasto_id,uuid,YES
gasto_metodos,cuenta_id,uuid,YES
gasto_metodos,importe,numeric,NO
gasto_metodos,created_at,timestamp with time zone,YES
gastos,id,uuid,NO
gastos,tenant_id,uuid,NO
